queryShopId, shopId, shopName, companyName, shopUrl, createTime
AAAsMZh, lllWzYc, , , https://haohuo.jinritemai.com/views/shop/index?id=lllWzYc, 2019-07-26 15:01:37
aAdsGaI, YozGfYM, , , https://haohuo.jinritemai.com/views/shop/index?id=YozGfYM, 2019-07-29 11:34:23
aAEpXwa, KperSt, , , https://haohuo.jinritemai.com/views/shop/index?id=KperSt, 2019-07-29 12:01:39
